"ISP (CET/CEST)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"01/01/2021 00:00 - 01/01/2021 01:00","MBA|NO1","FCR","22.10","8.29","22.10",""
"01/01/2021 01:00 - 01/01/2021 02:00","MBA|NO1","FCR","22.00","13.20","22.00",""
"01/01/2021 02:00 - 01/01/2021 03:00","MBA|NO1","FCR","21.90","10.95","21.90",""
"01/01/2021 03:00 - 01/01/2021 04:00","MBA|NO1","FCR","22.10","8.29","22.10",""
"01/01/2021 04:00 - 01/01/2021 05:00","MBA|NO1","FCR","22.10","2.76","22.10",""
"01/01/2021 05:00 - 01/01/2021 06:00","MBA|NO1","FCR","22.00","0.00","22.00","4.40"
"01/01/2021 06:00 - 01/01/2021 07:00","MBA|NO1","FCR","21.90","0.00","21.90","4.38"
"01/01/2021 07:00 - 01/01/2021 08:00","MBA|NO1","FCR","22.10","0.00","22.10","4.42"
"01/01/2021 08:00 - 01/01/2021 09:00","MBA|NO1","FCR","24.00","0.00","24.00","4.20"
"01/01/2021 09:00 - 01/01/2021 10:00","MBA|NO1","FCR","25.10","0.00","25.10","8.16"
"01/01/2021 10:00 - 01/01/2021 11:00","MBA|NO1","FCR","24.10","5.42","24.10",""
"01/01/2021 11:00 - 01/01/2021 12:00","MBA|NO1","FCR","21.50","3.76","21.50",""
"01/01/2021 12:00 - 01/01/2021 13:00","MBA|NO1","FCR","26.60","0.00","26.60","2.66"
"01/01/2021 13:00 - 01/01/2021 14:00","MBA|NO1","FCR","26.40","0.00","26.40","2.64"
"01/01/2021 14:00 - 01/01/2021 15:00","MBA|NO1","FCR","28.10","3.51","28.10",""
"01/01/2021 15:00 - 01/01/2021 16:00","MBA|NO1","FCR","25.10","0.00","25.10",""
"01/01/2021 16:00 - 01/01/2021 17:00","MBA|NO1","FCR","22.00","0.00","22.00","3.85"
"01/01/2021 17:00 - 01/01/2021 18:00","MBA|NO1","FCR","26.10","0.00","26.10","2.61"
"01/01/2021 18:00 - 01/01/2021 19:00","MBA|NO1","FCR","23.10","0.00","23.10","3.47"
"01/01/2021 19:00 - 01/01/2021 20:00","MBA|NO1","FCR","29.00","0.00","29.00","5.08"
"01/01/2021 20:00 - 01/01/2021 21:00","MBA|NO1","FCR","27.10","0.00","27.10","3.39"
"01/01/2021 21:00 - 01/01/2021 22:00","MBA|NO1","FCR","28.10","1.41","28.10",""
"01/01/2021 22:00 - 01/01/2021 23:00","MBA|NO1","FCR","28.00","0.00","28.00","4.20"
"01/01/2021 23:00 - 02/01/2021 00:00","MBA|NO1","FCR","27.10","0.00","27.10","4.74"
"02/01/2021 00:00 - 02/01/2021 01:00","MBA|NO1","FCR","24.50","0.00","24.50","4.29"
"02/01/2021 01:00 - 02/01/2021 02:00","MBA|NO1","FCR","21.60","0.00","21.60","5.94"
"02/01/2021 02:00 - 02/01/2021 03:00","MBA|NO1","FCR","21.40","0.54","21.40",""
"02/01/2021 03:00 - 02/01/2021 04:00","MBA|NO1","FCR","21.50","11.83","21.50",""
"02/01/2021 04:00 - 02/01/2021 05:00","MBA|NO1","FCR","21.60","4.86","21.60",""
"02/01/2021 05:00 - 02/01/2021 06:00","MBA|NO1","FCR","25.50","0.00","25.50","5.10"
"02/01/2021 06:00 - 02/01/2021 07:00","MBA|NO1","FCR","28.60","2.86","28.60",""
"02/01/2021 07:00 - 02/01/2021 08:00","MBA|NO1","FCR","28.40","0.00","28.40",""
"02/01/2021 08:00 - 02/01/2021 09:00","MBA|NO1","FCR","28.60","0.00","28.60","3.58"
"02/01/2021 09:00 - 02/01/2021 10:00","MBA|NO1","FCR","29.50","0.00","29.50","0.74"
"02/01/2021 10:00 - 02/01/2021 11:00","MBA|NO1","FCR","29.50","21.39","29.50",""
"02/01/2021 11:00 - 02/01/2021 12:00","MBA|NO1","FCR","28.60","8.58","28.60",""
"02/01/2021 12:00 - 02/01/2021 13:00","MBA|NO1","FCR","28.20","2.12","28.20",""
"02/01/2021 13:00 - 02/01/2021 14:00","MBA|NO1","FCR","28.50","9.26","28.50",""
"02/01/2021 14:00 - 02/01/2021 15:00","MBA|NO1","FCR","28.60","12.16","28.60",""
"02/01/2021 15:00 - 02/01/2021 16:00","MBA|NO1","FCR","29.00","10.88","29.00",""
"02/01/2021 16:00 - 02/01/2021 17:00","MBA|NO1","FCR","24.10","0.00","24.10","0.60"
"02/01/2021 17:00 - 02/01/2021 18:00","MBA|NO1","FCR","23.90","0.00","23.90","2.39"
"02/01/2021 18:00 - 02/01/2021 19:00","MBA|NO1","FCR","26.10","0.00","26.10","9.14"
"02/01/2021 19:00 - 02/01/2021 20:00","MBA|NO1","FCR","26.00","0.00","26.00","9.75"
"02/01/2021 20:00 - 02/01/2021 21:00","MBA|NO1","FCR","27.00","0.00","27.00","7.43"
"02/01/2021 21:00 - 02/01/2021 22:00","MBA|NO1","FCR","27.20","0.00","27.20","2.72"
"02/01/2021 22:00 - 02/01/2021 23:00","MBA|NO1","FCR","26.70","0.00","26.70","4.01"
"02/01/2021 23:00 - 03/01/2021 00:00","MBA|NO1","FCR","27.00","0.00","27.00","1.35"
"03/01/2021 00:00 - 03/01/2021 01:00","MBA|NO1","FCR","22.80","3.42","22.80",""
"03/01/2021 01:00 - 03/01/2021 02:00","MBA|NO1","FCR","24.80","0.00","24.80","4.96"
"03/01/2021 02:00 - 03/01/2021 03:00","MBA|NO1","FCR","24.70","0.00","24.70","10.50"
"03/01/2021 03:00 - 03/01/2021 04:00","MBA|NO1","FCR","24.80","0.00","24.80","2.48"
"03/01/2021 04:00 - 03/01/2021 05:00","MBA|NO1","FCR","24.80","6.20","24.80",""
"03/01/2021 05:00 - 03/01/2021 06:00","MBA|NO1","FCR","24.80","5.58","24.80",""
"03/01/2021 06:00 - 03/01/2021 07:00","MBA|NO1","FCR","25.80","0.00","25.80","5.81"
"03/01/2021 07:00 - 03/01/2021 08:00","MBA|NO1","FCR","23.50","0.00","23.50","13.51"
"03/01/2021 08:00 - 03/01/2021 09:00","MBA|NO1","FCR","23.80","0.00","23.80","0.60"
"03/01/2021 09:00 - 03/01/2021 10:00","MBA|NO1","FCR","29.80","0.75","29.80",""
"03/01/2021 10:00 - 03/01/2021 11:00","MBA|NO1","FCR","29.80","5.22","29.80",""
"03/01/2021 11:00 - 03/01/2021 12:00","MBA|NO1","FCR","30.80","8.47","30.80",""
"03/01/2021 12:00 - 03/01/2021 13:00","MBA|NO1","FCR","30.70","0.00","30.70","20.72"
"03/01/2021 13:00 - 03/01/2021 14:00","MBA|NO1","FCR","30.80","0.00","30.80","4.62"
"03/01/2021 14:00 - 03/01/2021 15:00","MBA|NO1","FCR","30.80","4.62","30.80",""
"03/01/2021 15:00 - 03/01/2021 16:00","MBA|NO1","FCR","30.80","11.55","30.80",""
"03/01/2021 16:00 - 03/01/2021 17:00","MBA|NO1","FCR","24.80","8.68","24.80",""
"03/01/2021 17:00 - 03/01/2021 18:00","MBA|NO1","FCR","25.70","0.00","25.70","0.64"
"03/01/2021 18:00 - 03/01/2021 19:00","MBA|NO1","FCR","26.80","0.00","26.80","14.74"
"03/01/2021 19:00 - 03/01/2021 20:00","MBA|NO1","FCR","27.80","0.00","27.80","4.87"
"03/01/2021 20:00 - 03/01/2021 21:00","MBA|NO1","FCR","28.80","0.00","28.80","2.88"
"03/01/2021 21:00 - 03/01/2021 22:00","MBA|NO1","FCR","27.80","2.78","27.80",""
"03/01/2021 22:00 - 03/01/2021 23:00","MBA|NO1","FCR","24.50","0.00","24.50","0.61"
"03/01/2021 23:00 - 04/01/2021 00:00","MBA|NO1","FCR","24.80","0.00","24.80","7.44"
"04/01/2021 00:00 - 04/01/2021 01:00","MBA|NO1","FCR","31.80","0.00","31.80","3.18"
"04/01/2021 01:00 - 04/01/2021 02:00","MBA|NO1","FCR","23.80","0.00","23.80","2.38"
"04/01/2021 02:00 - 04/01/2021 03:00","MBA|NO1","FCR","23.80","2.38","23.80",""
"04/01/2021 03:00 - 04/01/2021 04:00","MBA|NO1","FCR","24.80","11.78","24.80",""
"04/01/2021 04:00 - 04/01/2021 05:00","MBA|NO1","FCR","24.70","5.56","24.70",""
"04/01/2021 05:00 - 04/01/2021 06:00","MBA|NO1","FCR","24.80","0.62","24.80",""
"04/01/2021 06:00 - 04/01/2021 07:00","MBA|NO1","FCR","35.80","2.69","35.80",""
"04/01/2021 07:00 - 04/01/2021 08:00","MBA|NO1","FCR","35.80","18.80","35.80",""
"04/01/2021 08:00 - 04/01/2021 09:00","MBA|NO1","FCR","37.80","0.00","37.80","2.84"
"04/01/2021 09:00 - 04/01/2021 10:00","MBA|NO1","FCR","38.50","0.00","38.50","12.51"
"04/01/2021 10:00 - 04/01/2021 11:00","MBA|NO1","FCR","27.30","0.00","27.30","9.56"
"04/01/2021 11:00 - 04/01/2021 12:00","MBA|NO1","FCR","26.80","0.00","26.80","3.35"
"04/01/2021 12:00 - 04/01/2021 13:00","MBA|NO1","FCR","26.80","6.03","26.80",""
"04/01/2021 13:00 - 04/01/2021 14:00","MBA|NO1","FCR","26.80","4.02","26.80",""
"04/01/2021 14:00 - 04/01/2021 15:00","MBA|NO1","FCR","26.70","0.67","26.70",""
"04/01/2021 15:00 - 04/01/2021 16:00","MBA|NO1","FCR","25.80","1.94","25.80",""
"04/01/2021 16:00 - 04/01/2021 17:00","MBA|NO1","FCR","24.80","3.72","24.80",""
"04/01/2021 17:00 - 04/01/2021 18:00","MBA|NO1","FCR","24.80","2.48","24.80",""
"04/01/2021 18:00 - 04/01/2021 19:00","MBA|NO1","FCR","24.80","0.00","24.80","6.20"
"04/01/2021 19:00 - 04/01/2021 20:00","MBA|NO1","FCR","25.80","0.00","25.80","1.29"
"04/01/2021 20:00 - 04/01/2021 21:00","MBA|NO1","FCR","25.80","0.00","25.80","3.23"
"04/01/2021 21:00 - 04/01/2021 22:00","MBA|NO1","FCR","25.70","0.00","25.70",""
"04/01/2021 22:00 - 04/01/2021 23:00","MBA|NO1","FCR","33.80","0.00","33.80","10.99"
"04/01/2021 23:00 - 05/01/2021 00:00","MBA|NO1","FCR","24.80","0.00","24.80","8.68"
"05/01/2021 00:00 - 05/01/2021 01:00","MBA|NO1","FCR","19.50","0.98","19.50",""
"05/01/2021 01:00 - 05/01/2021 02:00","MBA|NO1","FCR","19.50","4.88","19.50",""
"05/01/2021 02:00 - 05/01/2021 03:00","MBA|NO1","FCR","19.60","9.80","19.60",""
"05/01/2021 03:00 - 05/01/2021 04:00","MBA|NO1","FCR","19.50","11.21","19.50",""
"05/01/2021 04:00 - 05/01/2021 05:00","MBA|NO1","FCR","26.50","8.61","26.50",""
"05/01/2021 05:00 - 05/01/2021 06:00","MBA|NO1","FCR","27.50","0.00","27.50","2.75"
"05/01/2021 06:00 - 05/01/2021 07:00","MBA|NO1","FCR","23.10","5.20","23.10",""
"05/01/2021 07:00 - 05/01/2021 08:00","MBA|NO1","FCR","24.10","1.21","24.10",""
"05/01/2021 08:00 - 05/01/2021 09:00","MBA|NO1","FCR","25.10","0.00","25.10","3.77"
"05/01/2021 09:00 - 05/01/2021 10:00","MBA|NO1","FCR","25.10","4.39","25.10",""
"05/01/2021 10:00 - 05/01/2021 11:00","MBA|NO1","FCR","29.00","0.73","29.00",""
"05/01/2021 11:00 - 05/01/2021 12:00","MBA|NO1","FCR","29.00","7.98","29.00",""
"05/01/2021 12:00 - 05/01/2021 13:00","MBA|NO1","FCR","29.10","2.91","29.10",""
"05/01/2021 13:00 - 05/01/2021 14:00","MBA|NO1","FCR","29.00","0.00","29.00",""
"05/01/2021 14:00 - 05/01/2021 15:00","MBA|NO1","FCR","31.10","0.00","31.10","7.78"
"05/01/2021 15:00 - 05/01/2021 16:00","MBA|NO1","FCR","31.00","2.33","31.00",""
"05/01/2021 16:00 - 05/01/2021 17:00","MBA|NO1","FCR","28.00","6.30","28.00",""
"05/01/2021 17:00 - 05/01/2021 18:00","MBA|NO1","FCR","27.10","4.07","27.10",""
"05/01/2021 18:00 - 05/01/2021 19:00","MBA|NO1","FCR","25.00","0.00","25.00","6.88"
"05/01/2021 19:00 - 05/01/2021 20:00","MBA|NO1","FCR","25.10","4.39","25.10",""
"05/01/2021 20:00 - 05/01/2021 21:00","MBA|NO1","FCR","24.10","6.63","24.10",""
"05/01/2021 21:00 - 05/01/2021 22:00","MBA|NO1","FCR","29.00","0.00","29.00","2.18"
"05/01/2021 22:00 - 05/01/2021 23:00","MBA|NO1","FCR","23.00","0.00","23.00","5.75"
"05/01/2021 23:00 - 06/01/2021 00:00","MBA|NO1","FCR","25.10","0.00","25.10","7.53"
"06/01/2021 00:00 - 06/01/2021 01:00","MBA|NO1","FCR","24.10","0.00","24.10","5.42"
"06/01/2021 01:00 - 06/01/2021 02:00","MBA|NO1","FCR","24.10","1.21","24.10",""
"06/01/2021 02:00 - 06/01/2021 03:00","MBA|NO1","FCR","26.10","0.00","26.10","7.83"
"06/01/2021 03:00 - 06/01/2021 04:00","MBA|NO1","FCR","28.10","9.84","28.10",""
"06/01/2021 04:00 - 06/01/2021 05:00","MBA|NO1","FCR","28.10","16.86","28.10",""
"06/01/2021 05:00 - 06/01/2021 06:00","MBA|NO1","FCR","25.10","0.00","25.10","5.02"
"06/01/2021 06:00 - 06/01/2021 07:00","MBA|NO1","FCR","31.10","0.00","31.10","0.78"
"06/01/2021 07:00 - 06/01/2021 08:00","MBA|NO1","FCR","32.10","0.80","32.10",""
"06/01/2021 08:00 - 06/01/2021 09:00","MBA|NO1","FCR","40.10","0.00","40.10","4.01"
"06/01/2021 09:00 - 06/01/2021 10:00","MBA|NO1","FCR","43.00","1.08","43.00",""
"06/01/2021 10:00 - 06/01/2021 11:00","MBA|NO1","FCR","42.10","5.26","42.10",""
"06/01/2021 11:00 - 06/01/2021 12:00","MBA|NO1","FCR","41.10","13.36","41.10",""
"06/01/2021 12:00 - 06/01/2021 13:00","MBA|NO1","FCR","41.00","3.08","41.00",""
"06/01/2021 13:00 - 06/01/2021 14:00","MBA|NO1","FCR","41.10","0.00","41.10","8.22"
"06/01/2021 14:00 - 06/01/2021 15:00","MBA|NO1","FCR","43.10","0.00","43.10","5.39"
"06/01/2021 15:00 - 06/01/2021 16:00","MBA|NO1","FCR","24.00","0.60","24.00",""
"06/01/2021 16:00 - 06/01/2021 17:00","MBA|NO1","FCR","36.10","0.00","36.10","4.51"
"06/01/2021 17:00 - 06/01/2021 18:00","MBA|NO1","FCR","43.10","0.00","43.10","10.78"
"06/01/2021 18:00 - 06/01/2021 19:00","MBA|NO1","FCR","34.00","0.00","34.00","8.50"
"06/01/2021 19:00 - 06/01/2021 20:00","MBA|NO1","FCR","42.20","0.00","42.20",""
"06/01/2021 20:00 - 06/01/2021 21:00","MBA|NO1","FCR","41.00","7.18","41.00",""
"06/01/2021 21:00 - 06/01/2021 22:00","MBA|NO1","FCR","34.10","3.41","34.10",""
"06/01/2021 22:00 - 06/01/2021 23:00","MBA|NO1","FCR","36.20","0.91","36.20",""
"06/01/2021 23:00 - 07/01/2021 00:00","MBA|NO1","FCR","35.70","0.00","35.70","9.82"
"07/01/2021 00:00 - 07/01/2021 01:00","MBA|NO1","FCR","22.60","0.00","22.60","20.91"
"07/01/2021 01:00 - 07/01/2021 02:00","MBA|NO1","FCR","22.10","0.00","22.10","14.92"
"07/01/2021 02:00 - 07/01/2021 03:00","MBA|NO1","FCR","21.10","0.00","21.10","11.61"
"07/01/2021 03:00 - 07/01/2021 04:00","MBA|NO1","FCR","21.10","0.00","21.10","9.50"
"07/01/2021 04:00 - 07/01/2021 05:00","MBA|NO1","FCR","22.00","0.00","22.00","8.80"
"07/01/2021 05:00 - 07/01/2021 06:00","MBA|NO1","FCR","30.10","0.00","30.10","3.01"
"07/01/2021 06:00 - 07/01/2021 07:00","MBA|NO1","FCR","27.10","0.68","27.10",""
"07/01/2021 07:00 - 07/01/2021 08:00","MBA|NO1","FCR","25.10","6.28","25.10",""
"07/01/2021 08:00 - 07/01/2021 09:00","MBA|NO1","FCR","32.00","7.20","32.00",""
"07/01/2021 09:00 - 07/01/2021 10:00","MBA|NO1","FCR","28.10","2.11","28.10",""
"07/01/2021 10:00 - 07/01/2021 11:00","MBA|NO1","FCR","27.10","1.36","27.10",""
"07/01/2021 11:00 - 07/01/2021 12:00","MBA|NO1","FCR","27.00","6.75","27.00",""
"07/01/2021 12:00 - 07/01/2021 13:00","MBA|NO1","FCR","26.10","9.14","26.10",""
"07/01/2021 13:00 - 07/01/2021 14:00","MBA|NO1","FCR","26.10","3.92","26.10",""
"07/01/2021 14:00 - 07/01/2021 15:00","MBA|NO1","FCR","27.10","0.00","27.10",""
"07/01/2021 15:00 - 07/01/2021 16:00","MBA|NO1","FCR","27.10","0.68","27.10",""
"07/01/2021 16:00 - 07/01/2021 17:00","MBA|NO1","FCR","26.10","0.00","26.10","13.05"
"07/01/2021 17:00 - 07/01/2021 18:00","MBA|NO1","FCR","26.10","0.00","26.10","13.05"
"07/01/2021 18:00 - 07/01/2021 19:00","MBA|NO1","FCR","25.00","0.00","25.00","3.13"
"07/01/2021 19:00 - 07/01/2021 20:00","MBA|NO1","FCR","25.10","6.90","25.10",""
"07/01/2021 20:00 - 07/01/2021 21:00","MBA|NO1","FCR","26.10","3.92","26.10",""
"07/01/2021 21:00 - 07/01/2021 22:00","MBA|NO1","FCR","26.10","8.48","26.10",""
"07/01/2021 22:00 - 07/01/2021 23:00","MBA|NO1","FCR","27.10","0.68","27.10",""
"07/01/2021 23:00 - 08/01/2021 00:00","MBA|NO1","FCR","22.90","2.86","22.90",""
"08/01/2021 00:00 - 08/01/2021 01:00","MBA|NO1","FCR","20.60","0.00","20.60","3.61"
"08/01/2021 01:00 - 08/01/2021 02:00","MBA|NO1","FCR","20.60","0.00","20.60","6.70"
"08/01/2021 02:00 - 08/01/2021 03:00","MBA|NO1","FCR","16.50","0.00","16.50","1.24"
"08/01/2021 03:00 - 08/01/2021 04:00","MBA|NO1","FCR","15.60","2.73","15.60",""
"08/01/2021 04:00 - 08/01/2021 05:00","MBA|NO1","FCR","15.60","4.29","15.60",""
"08/01/2021 05:00 - 08/01/2021 06:00","MBA|NO1","FCR","22.60","0.00","22.60","3.96"
"08/01/2021 06:00 - 08/01/2021 07:00","MBA|NO1","FCR","25.60","0.00","25.60","4.48"
"08/01/2021 07:00 - 08/01/2021 08:00","MBA|NO1","FCR","22.60","0.00","22.60","2.26"
"08/01/2021 08:00 - 08/01/2021 09:00","MBA|NO1","FCR","26.60","2.00","26.60",""
"08/01/2021 09:00 - 08/01/2021 10:00","MBA|NO1","FCR","29.50","0.00","29.50",""
"08/01/2021 10:00 - 08/01/2021 11:00","MBA|NO1","FCR","28.60","5.72","28.60",""
"08/01/2021 11:00 - 08/01/2021 12:00","MBA|NO1","FCR","27.60","7.59","27.60",""
