"ISP (CET/CEST)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"01/01/2020 00:00 - 01/01/2020 01:00","MBA|NO1","FCR","30.60","6.89","30.60",""
"01/01/2020 01:00 - 01/01/2020 02:00","MBA|NO1","FCR","30.70","5.37","30.70",""
"01/01/2020 02:00 - 01/01/2020 03:00","MBA|NO1","FCR","33.60","0.00","33.60","3.36"
"01/01/2020 03:00 - 01/01/2020 04:00","MBA|NO1","FCR","33.60","0.00","33.60","14.28"
"01/01/2020 04:00 - 01/01/2020 05:00","MBA|NO1","FCR","34.70","0.00","34.70","5.21"
"01/01/2020 05:00 - 01/01/2020 06:00","MBA|NO1","FCR","37.80","0.00","37.80",""
"01/01/2020 06:00 - 01/01/2020 07:00","MBA|NO1","FCR","35.50","0.00","35.50","2.66"
"01/01/2020 07:00 - 01/01/2020 08:00","MBA|NO1","FCR","34.60","0.00","34.60",""
"01/01/2020 08:00 - 01/01/2020 09:00","MBA|NO1","FCR","35.70","0.00","35.70","0.89"
"01/01/2020 09:00 - 01/01/2020 10:00","MBA|NO1","FCR","34.60","3.46","34.60",""
"01/01/2020 10:00 - 01/01/2020 11:00","MBA|NO1","FCR","34.60","6.92","34.60",""
"01/01/2020 11:00 - 01/01/2020 12:00","MBA|NO1","FCR","33.70","9.27","33.70",""
"01/01/2020 12:00 - 01/01/2020 13:00","MBA|NO1","FCR","33.60","0.00","33.60","8.40"
"01/01/2020 13:00 - 01/01/2020 14:00","MBA|NO1","FCR","33.60","0.84","33.60",""
"01/01/2020 14:00 - 01/01/2020 15:00","MBA|NO1","FCR","33.60","13.44","33.60",""
"01/01/2020 15:00 - 01/01/2020 16:00","MBA|NO1","FCR","32.70","4.91","32.70",""
"01/01/2020 16:00 - 01/01/2020 17:00","MBA|NO1","FCR","32.60","2.45","32.60",""
"01/01/2020 17:00 - 01/01/2020 18:00","MBA|NO1","FCR","32.60","0.00","32.60","9.78"
"01/01/2020 18:00 - 01/01/2020 19:00","MBA|NO1","FCR","32.60","0.00","32.60","5.71"
"01/01/2020 19:00 - 01/01/2020 20:00","MBA|NO1","FCR","32.70","1.64","32.70",""
"01/01/2020 20:00 - 01/01/2020 21:00","MBA|NO1","FCR","32.60","0.00","32.60","4.89"
"01/01/2020 21:00 - 01/01/2020 22:00","MBA|NO1","FCR","32.60","0.00","32.60","0.82"
"01/01/2020 22:00 - 01/01/2020 23:00","MBA|NO1","FCR","33.70","0.00","33.70","18.54"
"01/01/2020 23:00 - 02/01/2020 00:00","MBA|NO1","FCR","34.60","0.00","34.60","8.65"
"02/01/2020 00:00 - 02/01/2020 01:00","MBA|NO1","FCR","35.80","0.00","35.80","9.85"
"02/01/2020 01:00 - 02/01/2020 02:00","MBA|NO1","FCR","36.80","9.20","36.80",""
"02/01/2020 02:00 - 02/01/2020 03:00","MBA|NO1","FCR","36.70","4.59","36.70",""
"02/01/2020 03:00 - 02/01/2020 04:00","MBA|NO1","FCR","35.30","0.00","35.30","5.30"
"02/01/2020 04:00 - 02/01/2020 05:00","MBA|NO1","FCR","35.30","0.00","35.30","4.41"
"02/01/2020 05:00 - 02/01/2020 06:00","MBA|NO1","FCR","35.10","0.00","35.10","0.88"
"02/01/2020 06:00 - 02/01/2020 07:00","MBA|NO1","FCR","29.10","0.00","29.10",""
"02/01/2020 07:00 - 02/01/2020 08:00","MBA|NO1","FCR","30.00","0.00","30.00","3.00"
"02/01/2020 08:00 - 02/01/2020 09:00","MBA|NO1","FCR","29.10","1.46","29.10",""
"02/01/2020 09:00 - 02/01/2020 10:00","MBA|NO1","FCR","30.10","13.55","30.10",""
"02/01/2020 10:00 - 02/01/2020 11:00","MBA|NO1","FCR","30.00","14.25","30.00",""
"02/01/2020 11:00 - 02/01/2020 12:00","MBA|NO1","FCR","30.10","9.78","30.10",""
"02/01/2020 12:00 - 02/01/2020 13:00","MBA|NO1","FCR","30.10","3.01","30.10",""
"02/01/2020 13:00 - 02/01/2020 14:00","MBA|NO1","FCR","29.10","10.19","29.10",""
"02/01/2020 14:00 - 02/01/2020 15:00","MBA|NO1","FCR","29.00","5.08","29.00",""
"02/01/2020 15:00 - 02/01/2020 16:00","MBA|NO1","FCR","29.10","3.64","29.10",""
"02/01/2020 16:00 - 02/01/2020 17:00","MBA|NO1","FCR","29.10","0.00","29.10","8.00"
"02/01/2020 17:00 - 02/01/2020 18:00","MBA|NO1","FCR","29.00","0.00","29.00","11.60"
"02/01/2020 18:00 - 02/01/2020 19:00","MBA|NO1","FCR","29.10","0.00","29.10","1.46"
"02/01/2020 19:00 - 02/01/2020 20:00","MBA|NO1","FCR","27.10","0.00","27.10","6.78"
"02/01/2020 20:00 - 02/01/2020 21:00","MBA|NO1","FCR","25.80","0.00","25.80","11.61"
"02/01/2020 21:00 - 02/01/2020 22:00","MBA|NO1","FCR","26.10","0.00","26.10",""
"02/01/2020 22:00 - 02/01/2020 23:00","MBA|NO1","FCR","26.10","0.00","26.10","7.18"
"02/01/2020 23:00 - 03/01/2020 00:00","MBA|NO1","FCR","29.20","0.00","29.20","8.03"
"03/01/2020 00:00 - 03/01/2020 01:00","MBA|NO1","FCR","39.30","14.74","39.30",""
"03/01/2020 01:00 - 03/01/2020 02:00","MBA|NO1","FCR","39.30","0.00","39.30","5.90"
"03/01/2020 02:00 - 03/01/2020 03:00","MBA|NO1","FCR","39.10","0.00","39.10","10.75"
"03/01/2020 03:00 - 03/01/2020 04:00","MBA|NO1","FCR","39.00","0.00","39.00","14.63"
"03/01/2020 04:00 - 03/01/2020 05:00","MBA|NO1","FCR","39.10","7.82","39.10",""
"03/01/2020 05:00 - 03/01/2020 06:00","MBA|NO1","FCR","39.10","8.80","39.10",""
"03/01/2020 06:00 - 03/01/2020 07:00","MBA|NO1","FCR","36.00","0.00","36.00",""
"03/01/2020 07:00 - 03/01/2020 08:00","MBA|NO1","FCR","36.60","2.75","36.60",""
"03/01/2020 08:00 - 03/01/2020 09:00","MBA|NO1","FCR","35.60","1.78","35.60",""
"03/01/2020 09:00 - 03/01/2020 10:00","MBA|NO1","FCR","34.50","0.00","34.50","0.86"
"03/01/2020 10:00 - 03/01/2020 11:00","MBA|NO1","FCR","34.60","12.98","34.60",""
"03/01/2020 11:00 - 03/01/2020 12:00","MBA|NO1","FCR","35.60","8.01","35.60",""
"03/01/2020 12:00 - 03/01/2020 13:00","MBA|NO1","FCR","33.50","0.00","33.50",""
"03/01/2020 13:00 - 03/01/2020 14:00","MBA|NO1","FCR","33.60","0.84","33.60",""
"03/01/2020 14:00 - 03/01/2020 15:00","MBA|NO1","FCR","30.60","0.00","30.60","12.24"
"03/01/2020 15:00 - 03/01/2020 16:00","MBA|NO1","FCR","31.60","5.53","31.60",""
"03/01/2020 16:00 - 03/01/2020 17:00","MBA|NO1","FCR","31.50","0.79","31.50",""
"03/01/2020 17:00 - 03/01/2020 18:00","MBA|NO1","FCR","31.60","8.69","31.60",""
"03/01/2020 18:00 - 03/01/2020 19:00","MBA|NO1","FCR","34.60","0.00","34.60","0.87"
"03/01/2020 19:00 - 03/01/2020 20:00","MBA|NO1","FCR","32.50","1.63","32.50",""
"03/01/2020 20:00 - 03/01/2020 21:00","MBA|NO1","FCR","33.60","6.72","33.60",""
"03/01/2020 21:00 - 03/01/2020 22:00","MBA|NO1","FCR","30.60","5.36","30.60",""
"03/01/2020 22:00 - 03/01/2020 23:00","MBA|NO1","FCR","33.30","6.66","33.30",""
"03/01/2020 23:00 - 04/01/2020 00:00","MBA|NO1","FCR","34.60","6.92","34.60",""
"04/01/2020 00:00 - 04/01/2020 01:00","MBA|NO1","FCR","34.50","0.00","34.50","5.18"
"04/01/2020 01:00 - 04/01/2020 02:00","MBA|NO1","FCR","33.30","0.00","33.30","0.83"
"04/01/2020 02:00 - 04/01/2020 03:00","MBA|NO1","FCR","33.40","15.87","33.40",""
"04/01/2020 03:00 - 04/01/2020 04:00","MBA|NO1","FCR","33.50","25.13","33.50",""
"04/01/2020 04:00 - 04/01/2020 05:00","MBA|NO1","FCR","34.50","9.49","34.50",""
"04/01/2020 05:00 - 04/01/2020 06:00","MBA|NO1","FCR","34.30","0.00","34.30","10.29"
"04/01/2020 06:00 - 04/01/2020 07:00","MBA|NO1","FCR","34.40","0.00","34.40","3.44"
"04/01/2020 07:00 - 04/01/2020 08:00","MBA|NO1","FCR","34.40","12.04","34.40",""
"04/01/2020 08:00 - 04/01/2020 09:00","MBA|NO1","FCR","33.50","4.19","33.50",""
"04/01/2020 09:00 - 04/01/2020 10:00","MBA|NO1","FCR","34.80","9.57","34.80",""
"04/01/2020 10:00 - 04/01/2020 11:00","MBA|NO1","FCR","29.60","5.18","29.60",""
